罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,現金以外の主な被害品
窃盗,部品ねらい,中央,札幌駅前,11011,北海道,札幌市中央区,北５条西４丁目,2018/9/16,20,その他,その他
窃盗,部品ねらい,中央,大通,11011,北海道,札幌市中央区,大通東１丁目,2018/10/9,14,道路上,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,大通西１０丁目,2018/8/12,16,道路上,タイヤ・ホイール
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南２条西１０丁目,2018/7/20,9,その他,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南４条西６丁目,2018/11/30,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南７条西８丁目,2018/3/29,18,駐車（輪）場,その他
窃盗,部品ねらい,中央,南三条,11011,北海道,札幌市中央区,南７条西９丁目,2018/11/25,15,駐車（輪）場,その他
窃盗,部品ねらい,中央,北一条西,11011,北海道,札幌市中央区,南１条西１７丁目,2018/4/18,13,その他,その他
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南１条西１３丁目,2018/4/24,8,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南４条西１５丁目,2018/9/25,15,４階建て以上共同住宅,その他
窃盗,部品ねらい,中央,御幸,11011,北海道,札幌市中央区,南６条西１８丁目,2018/3/21,8,駐車（輪）場,その他
窃盗,部品ねらい,中央,苗穂駅前,11011,北海道,札幌市中央区,北３条東１３丁目,2018/7/24,7,駐車（輪）場,その他
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水７条２丁目,2018/5/2,7,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水上町４条４丁目,2018/11/19,6,駐車（輪）場,その他
窃盗,部品ねらい,白石,東橋,11045,北海道,札幌市白石区,菊水上町,2017/12/29,7,その他,その他
窃盗,部品ねらい,白石,菊水,11045,北海道,札幌市白石区,菊水１条１丁目,2018/5/9,11,その他,ナンバープレート
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,中央３条５丁目,2018/7/20,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,平和通２丁目北,2018/2/14,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,本通６丁目北,2018/5/18,17,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,白石,白石中央,11045,北海道,札幌市白石区,本通６丁目北,2018/5/23,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷１条７丁目,2018/4/27,22,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷４条８丁目,2018/5/31,8,その他,その他
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷５条３丁目,2018/2/23,17,道路上,ナンバープレート
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷６条１０丁目,2018/12/23,18,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷７条１０丁目,2018/12/20,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,北郷,11045,北海道,札幌市白石区,北郷８条３丁目,2018/9/6,4,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,南郷,11045,北海道,札幌市白石区,南郷通３丁目北,2018/9/24,0,駐車（輪）場,その他
窃盗,部品ねらい,白石,南郷,11045,北海道,札幌市白石区,本郷通２丁目南,2018/9/11,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,南郷,11045,北海道,札幌市白石区,本郷通１２丁目南,2017/7/20,不明,４階建て以上共同住宅,ナンバープレート
窃盗,部品ねらい,白石,南郷,11045,北海道,札幌市白石区,本郷通１２丁目南,2018/12/23,22,一戸建住宅,その他
窃盗,部品ねらい,白石,南郷,11045,北海道,札幌市白石区,本郷通７丁目北,2018/12/20,18,駐車（輪）場,その他
窃盗,部品ねらい,白石,東白石,11045,北海道,札幌市白石区,南郷通１７丁目北,2018/10/21,18,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,東白石,11045,北海道,札幌市白石区,本通１９丁目南,2018/7/10,21,４階建て以上共同住宅,その他
窃盗,部品ねらい,白石,東白石,11045,北海道,札幌市白石区,流通センター５丁目,2018/8/8,18,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川北１条３丁目,2018/10/22,20,一戸建住宅,その他
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川北,2018/2/20,16,駐車（輪）場,その他
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川北,2018/5/14,15,その他,その他
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川北,2018/5/17,15,その他,ナンバープレート
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川下,2018/2/8,18,その他,その他
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,川下,2018/9/7,14,駐車（輪）場,その他
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,北郷４条１１丁目,2018/7/20,不明,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,白石,北都,11045,北海道,札幌市白石区,北郷４条１１丁目,2018/11/30,18,その他,タイヤ・ホイール
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,東米里,2018/2/20,15,その他,ナンバープレート
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,東米里,2018/7/31,19,その他,その他
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,東米里,2018/8/1,8,その他,ナンバープレート
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,東米里,2018/8/3,17,その他,その他
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,米里１条２丁目,2018/12/18,12,一戸建住宅,ナンバープレート
窃盗,部品ねらい,白石,菊水元町,11045,北海道,札幌市白石区,米里５条２丁目,2017/10/10,不明,その他,その他
窃盗,部品ねらい,西,二十四軒,11070,北海道,札幌市西区,二十四軒１条７丁目,2018/5/13,19,その他,その他
窃盗,部品ねらい,西,琴似駅前,11070,北海道,札幌市西区,琴似１条３丁目,2018/5/18,20,４階建て以上共同住宅,その他
窃盗,部品ねらい,西,琴似駅前,11070,北海道,札幌市西区,琴似３条１丁目,2018/5/11,10,駐車（輪）場,その他
窃盗,部品ねらい,西,琴似駅前,11070,北海道,札幌市西区,琴似３条１丁目,2018/9/28,20,駐車（輪）場,その他
窃盗,部品ねらい,西,琴似駅前,11070,北海道,札幌市西区,八軒１条東２丁目,2018/8/20,21,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,西,琴似本通,11070,北海道,札幌市西区,,2018/7/16,19,その他,ナンバープレート
窃盗,部品ねらい,西,琴似本通,11070,北海道,札幌市西区,山の手３条２丁目,2018/4/17,17,４階建て以上共同住宅,その他
窃盗,部品ねらい,西,宮の森,11011,北海道,札幌市中央区,盤渓,2018/2/9,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,西,発寒,11070,北海道,札幌市西区,発寒６条１０丁目,2018/6/15,23,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,西,発寒,11070,北海道,札幌市西区,発寒８条１２丁目,2018/10/16,11,駐車（輪）場,その他
窃盗,部品ねらい,西,発寒,11070,北海道,札幌市西区,発寒９条１３丁目,2018/7/24,11,駐車（輪）場,その他
窃盗,部品ねらい,西,鉄工団地,11070,北海道,札幌市西区,発寒１６条１３丁目,2018/6/9,15,その他,カーナビ
窃盗,部品ねらい,西,鉄工団地,11070,北海道,札幌市西区,発寒１７条３丁目,2018/9/14,19,駐車（輪）場,その他
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,西町南１０丁目,2018/6/11,18,その他,その他
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,西町南１０丁目,2018/6/14,18,その他,その他
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,西町南１１丁目,2018/3/31,13,その他,その他
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,西町南１１丁目,2018/6/25,17,その他,その他
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,宮の沢１条１丁目,2018/8/26,7,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,西,西町,11070,北海道,札幌市西区,宮の沢１条１丁目,2018/9/15,11,駐車（輪）場,その他
窃盗,部品ねらい,西,西野,11070,北海道,札幌市西区,小別沢,2018/8/12,18,その他,その他
窃盗,部品ねらい,東,苗穂,11037,北海道,札幌市東区,北７条東１８丁目,2018/6/4,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東,苗穂,11037,北海道,札幌市東区,北８条東１９丁目,2018/8/13,17,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,東,苗穂,11037,北海道,札幌市東区,本町２条２丁目,2018/5/20,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,東,北十二条東,11037,北海道,札幌市東区,北１２条東１０丁目,2018/4/7,23,駐車（輪）場,その他
窃盗,部品ねらい,東,北十二条東,11037,北海道,札幌市東区,北１９条東１９丁目,2018/6/13,19,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,東,栄西,11037,北海道,札幌市東区,北４１条東１丁目,2018/3/30,10,駐車（輪）場,その他
窃盗,部品ねらい,東,北二十六条,11037,北海道,札幌市東区,北２０条東６丁目,2018/9/10,0,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,東,北二十六条,11037,北海道,札幌市東区,北３２条東７丁目,2018/5/27,16,４階建て以上共同住宅,その他
窃盗,部品ねらい,東,元町,11037,北海道,札幌市東区,北２３条東１６丁目,2018/7/18,8,駐車（輪）場,その他
窃盗,部品ねらい,東,東苗穂,11037,北海道,札幌市東区,伏古３条３丁目,2018/4/5,17,駐車（輪）場,その他
窃盗,部品ねらい,東,丘珠,11037,北海道,札幌市東区,中沼町,2018/8/9,19,その他,その他
窃盗,部品ねらい,東,丘珠,11037,北海道,札幌市東区,中沼町,2018/8/15,12,その他,ナンバープレート
窃盗,部品ねらい,東,丘珠,11037,北海道,札幌市東区,中沼西１条１丁目,2018/8/30,21,その他,その他
窃盗,部品ねらい,東,栄東,11037,北海道,札幌市東区,北３８条東９丁目,2018/5/4,15,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,東,栄東,11037,北海道,札幌市東区,北４０条東１４丁目,2018/2/23,21,４階建て以上共同住宅,その他
窃盗,部品ねらい,東,栄東,11037,北海道,札幌市東区,北４１条東１３丁目,2018/12/24,21,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,東,栄東,11037,北海道,札幌市東区,北４６条東１９丁目,2018/2/13,7,駐車（輪）場,その他
窃盗,部品ねらい,東,札苗,11037,北海道,札幌市東区,東雁来町,2018/3/8,19,その他,ナンバープレート
窃盗,部品ねらい,東,札苗,11037,北海道,札幌市東区,東苗穂８条２丁目,2018/8/4,1,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,２条４丁目,2018/4/23,7,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,緑町西１丁目,2018/5/4,23,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,元江別,2018/5/15,21,一戸建住宅,ナンバープレート
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,元江別,2018/12/10,17,駐車（輪）場,その他
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,弥生町,2018/5/4,10,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,見晴台,2018/5/12,16,道路上,ナンバープレート
窃盗,部品ねらい,江別,駅前,12173,北海道,江別市,見晴台,2018/9/3,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,角山,12173,北海道,江別市,角山,2018/7/18,15,その他,その他
窃盗,部品ねらい,江別,角山,12173,北海道,江別市,美原,2018/5/26,19,その他,タイヤ・ホイール
窃盗,部品ねらい,江別,角山,12173,北海道,江別市,美原,2018/11/6,17,道路上,その他
窃盗,部品ねらい,江別,野幌,12173,北海道,江別市,錦町,2018/6/10,17,駐車（輪）場,その他
窃盗,部品ねらい,江別,野幌,12173,北海道,江別市,野幌代々木町,2018/4/30,21,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,江別,野幌,12173,北海道,江別市,野幌町,2018/10/2,8,駐車（輪）場,その他
窃盗,部品ねらい,江別,野幌,12173,北海道,江別市,野幌屯田町,2018/10/12,17,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,大麻,12173,北海道,江別市,大麻園町,2018/10/8,21,駐車（輪）場,その他
窃盗,部品ねらい,江別,大麻,12173,北海道,江別市,大麻中町,2018/4/22,16,駐車（輪）場,その他
窃盗,部品ねらい,江別,大麻,12173,北海道,江別市,大麻中町,2018/7/15,20,駐車（輪）場,その他
窃盗,部品ねらい,江別,大麻,12173,北海道,江別市,大麻宮町,2018/9/18,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,江別,朝日,12173,北海道,江別市,江別太,2018/10/20,17,その他,その他
窃盗,部品ねらい,江別,朝日,12173,北海道,江別市,東光町,2018/8/1,8,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/2/5,19,一戸建住宅,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/9/29,0,駐車（輪）場,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/10/19,15,その他,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/10/21,17,駐車（輪）場,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/10/22,0,一戸建住宅,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/10/25,23,道路上,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/11/5,19,一戸建住宅,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,野幌若葉町,2018/11/7,3,道路上,その他
窃盗,部品ねらい,江別,東野幌,12173,北海道,江別市,緑ケ丘,2018/5/7,18,一戸建住宅,その他
窃盗,部品ねらい,千歳,駅前,12246,北海道,千歳市,清水町６丁目,2018/11/5,17,その他,ナンバープレート
窃盗,部品ねらい,千歳,駅前,12246,北海道,千歳市,千代田町７丁目,2018/2/2,6,その他,その他
窃盗,部品ねらい,千歳,新富,12246,北海道,千歳市,新富３丁目,2018/2/26,20,その他,ナンバープレート
窃盗,部品ねらい,千歳,新富,12246,北海道,千歳市,自由ケ丘２丁目,2018/2/6,19,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,千歳,新富,12246,北海道,千歳市,北光６丁目,2018/5/9,18,一戸建住宅,その他
窃盗,部品ねらい,千歳,本町,12246,北海道,千歳市,春日町３丁目,2018/8/2,17,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,千歳,本町,12246,北海道,千歳市,真々地４丁目,2018/9/12,12,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,千歳,恵庭,12319,北海道,恵庭市,中島町５丁目,2018/12/14,23,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,千歳,島松,12319,北海道,恵庭市,島松寿町２丁目,2018/10/27,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,千歳,新千歳空港,12246,北海道,千歳市,平和,2018/9/29,17,その他,その他
窃盗,部品ねらい,千歳,恵み野,12319,北海道,恵庭市,恵み野西６丁目,2018/12/28,17,その他の住宅（３階建て以下共同住宅等）,ナンバープレート
窃盗,部品ねらい,千歳,住吉,12246,北海道,千歳市,寿２丁目,2018/1/17,19,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,千歳,住吉,12246,北海道,千歳市,旭ヶ丘２丁目,2018/1/17,21,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,千歳,住吉,12246,北海道,千歳市,流通３丁目,2018/1/21,15,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,千歳,恵庭駅前,12319,北海道,恵庭市,住吉町２丁目,2018/11/7,22,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,岩見沢,駅前,12106,北海道,岩見沢市,４条西１７丁目,2018/8/23,18,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,駅前,12106,北海道,岩見沢市,９条西１９丁目,2018/10/15,15,その他,ナンバープレート
窃盗,部品ねらい,岩見沢,駅前,12106,北海道,岩見沢市,元町２条東８丁目,2018/7/9,23,一戸建住宅,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,駅前,12106,北海道,岩見沢市,大和４条８丁目,2018/11/20,13,駐車（輪）場,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,東光,12106,北海道,岩見沢市,３条東１３丁目,2018/8/6,18,その他の住宅（３階建て以下共同住宅等）,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,東光,12106,北海道,岩見沢市,４条東１４丁目,2018/7/4,20,その他,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,東光,12106,北海道,岩見沢市,５条東１１丁目,2018/11/17,17,その他の住宅（３階建て以下共同住宅等）,その他
窃盗,部品ねらい,岩見沢,東光,12106,北海道,岩見沢市,６条東１４丁目,2018/12/13,19,一戸建住宅,ナンバープレート
窃盗,部品ねらい,岩見沢,東光,12106,北海道,岩見沢市,日の出台６丁目,2018/8/30,17,４階建て以上共同住宅,タイヤ・ホイール
窃盗,部品ねらい,岩見沢,月形,14303,北海道,月形町,,2018/5/19,16,駐車（輪）場,ナンバープレート
窃盗,部品ねらい,栗山,角田,14290,北海道,栗山町,字大井分,2018/9/7,12,その他,その他
